stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,year,quarter,month,week,weekday,date,day,hour,area
dongsi_aq,2018-03-31 07:00:00,105.0,172.0,53.0,0.8,127.0,14.0,2018,1,3,13,5,2018-03-31,31,7,urban
tiantan_aq,2018-03-31 07:00:00,95.0,123.0,54.0,0.9,121.0,15.0,2018,1,3,13,5,2018-03-31,31,7,urban
guanyuan_aq,2018-03-31 07:00:00,95.0,139.0,66.0,0.8,123.0,13.0,2018,1,3,13,5,2018-03-31,31,7,urban
wanshouxigong_aq,2018-03-31 07:00:00,99.0,172.0,58.0,1.0,119.0,14.0,2018,1,3,13,5,2018-03-31,31,7,urban
aotizhongxin_aq,2018-03-31 07:00:00,117.0,166.0,67.0,0.8,111.0,14.0,2018,1,3,13,5,2018-03-31,31,7,urban
nongzhanguan_aq,2018-03-31 07:00:00,100.0,150.0,62.0,0.8,127.0,15.0,2018,1,3,13,5,2018-03-31,31,7,urban
wanliu_aq,2018-03-31 07:00:00,95.0,139.0,82.0,1.0,104.0,13.0,2018,1,3,13,5,2018-03-31,31,7,urban
beibuxinqu_aq,2018-03-31 07:00:00,104.0,236.0,75.0,0.9,98.0,9.0,2018,1,3,13,5,2018-03-31,31,7,urban
zhiwuyuan_aq,2018-03-31 07:00:00,107.5,199.0,70.0,0.9,108.5,11.0,2018,1,3,13,5,2018-03-31,31,7,urban
fengtaihuayuan_aq,2018-03-31 07:00:00,111.0,162.0,65.0,0.9,119.0,13.0,2018,1,3,13,5,2018-03-31,31,7,urban
yungang_aq,2018-03-31 07:00:00,106.0,171.0,68.0,0.9,117.0,13.0,2018,1,3,13,5,2018-03-31,31,7,urban
gucheng_aq,2018-03-31 07:00:00,133.0,193.0,79.0,0.9,110.0,10.0,2018,1,3,13,5,2018-03-31,31,7,urban
fangshan_aq,2018-03-31 07:00:00,102.0,188.0,66.0,0.7,131.0,13.0,2018,1,3,13,5,2018-03-31,31,7,suburban
daxing_aq,2018-03-31 07:00:00,92.0,156.0,43.0,0.8,139.0,14.0,2018,1,3,13,5,2018-03-31,31,7,suburban
yizhuang_aq,2018-03-31 07:00:00,90.0,148.0,42.0,0.9,153.0,18.0,2018,1,3,13,5,2018-03-31,31,7,suburban
tongzhou_aq,2018-03-31 07:00:00,105.0,146.0,38.0,0.7,138.0,16.0,2018,1,3,13,5,2018-03-31,31,7,suburban
shunyi_aq,2018-03-31 07:00:00,104.0,143.0,52.0,1.0,142.0,16.0,2018,1,3,13,5,2018-03-31,31,7,suburban
pingchang_aq,2018-03-31 07:00:00,85.0,133.0,52.0,0.9,117.0,12.0,2018,1,3,13,5,2018-03-31,31,7,suburban
mentougou_aq,2018-03-31 07:00:00,96.0,169.0,75.0,0.8,120.0,11.0,2018,1,3,13,5,2018-03-31,31,7,suburban
pinggu_aq,2018-03-31 07:00:00,91.0,147.0,63.5,0.8,122.0,11.5,2018,1,3,13,5,2018-03-31,31,7,suburban
huairou_aq,2018-03-31 07:00:00,86.0,125.0,52.0,0.8,124.0,12.0,2018,1,3,13,5,2018-03-31,31,7,suburban
miyun_aq,2018-03-31 07:00:00,80.0,125.0,37.0,0.7,159.0,10.0,2018,1,3,13,5,2018-03-31,31,7,suburban
yanqin_aq,2018-03-31 07:00:00,54.0,259.0,15.0,0.4,121.0,5.0,2018,1,3,13,5,2018-03-31,31,7,suburban
